ConditionTested.TestID;Expr1001;OrderRemarks;Lpp;;Tmean/Lpp;B/Tmean;LCG/Lpp;Fn;Pdiam/Tmean;RudArea/(Lpp*Tmean);Trim=(Taft-Tfore)/Lpp;;Beam;DraughtAP;DraughtFP;LCG;ApproachSpeed;PropellerDiameter;RudderAreaTot;BlockCoefficient;yv;yvabsv;yvlin;nv;nvabsv;;nvlin;yr;yrrr;nr;nrrr;xvv;xrr;xvr;yvrr;yrvv;yrabsv;yvabsr;nvrr;nrvv;nrabsv;nvabsr;xudot;yvdot;yrdot;nvdot;nrdot;xudot;yvdot;yrdot;nvdot;nrdot;xv;yvv;nvv;y0;n0;Expr1;nvu;yvu;yru;nru;hydrocoefficientsremarks;stabilitycriterion;slopeRDcurve0dim;slopeRDcurve1s;yd;nd;Expr1054;OrderNumber;PropellerRevolutions;HydroDynamicCoefficients.TestID;NumberOfPropellers;NumberOfRudders
2;7121;<>;304.8;;0.060367454;2.563586957;0.024081365;0.122241483;0.483695652;0.016939119;0;;47.17;18.4;18.4;7.34;13;8.9;95;0.831618264;-1530;-2830;-1530;-800;470;-0.5875;-800;478;148;-309;-117;384;21;920;820;252;0;9998;0;-1152;0;9998;-110;-1520;-70;-33;-90;-11774.40341;-162700.8471;-7492.802168;-3532.321022;-9633.602787;35.6;9998;9998;-2;-2.9;1;0;0;0;0;<>;-3.307;1.558;0.0342;338;-160;2;7121;65;2;1;1
3;7153;<>;236;;0.061440678;2.668965517;0.030508475;0.166171725;0.455172414;0.022501461;0;;38.7;14.5;14.5;7.2;15.55;6.6;77;0.839596954;-1842.2;-3445.5;-1835;-813.7;325;-0.399410102;-830;472;145.5;-344.6;-89.2;347.6;61.5;1360;-1620;0;740;9998;250;0;-550;9998;-104;-1692;-80;-34.5;-85.8;-10322.34518;-167936.6159;-7940.265526;-3424.239508;-8515.934777;-20.4;9998;9998;-16.6;2.9;1;0;0;0;0;<>;-2.854;2.764;0.0937;476;-214.6;3;7153;118;3;1;1
4;7173;<NO. 50, LOADED>;353.3;;0.063487121;2.514489523;0.02745542;0.137996479;0.432456531;0.016354305;0;;56.4;22.43;22.43;9.7;15.8;9.7;129.6;0.829173086;-1604;-4835;-1910;-917;356.3;-0.388549618;-893;567;0;-340;0;153.3;36.5;792;-2620;0;-140;9998;120;0;-840;9998;-100;-1648;-80;-55.2;-92;-9866.858437;-162605.827;-7893.48675;-5446.505857;-9077.509762;-19.4;9998;9998;-10.1;0.4;1;0;0;0;0;<>;-2.57;2.327;0.0535;332.8;-157.6;4;7173;76;4;1;1
12;7191;<LOADED>;321.6;;0.067381841;2.519612367;0.029228856;0.146468657;0.387540378;0.016931953;0;;54.6;21.67;21.67;9.4;16;8.398;118;0.820474909;-1687;-5075;-1990;-940.3;257.2;-0.273529725;-999;526.2;174.9;-353;-167.4;124;9.7;1190.5;-950;572;0;9998;106.7;-1514;0;9998;-113.4;-1810.1;-82.6;-58.2;-99.1;-9912.736928;-158227.9111;-7220.388627;-5087.489323;-8662.718074;62.2;9998;9998;0.2;1.1;1;0;0;0;0;<>;-5.38;1.056;0.027;297.6;-136.1;12;7191;104.5;12;1;1
14;7225;<LOADED>;325;;0.067938462;2.400362319;0.030153846;0.148432384;0.412137681;0.016666667;0;;53;22.08;22.08;9.8;16.3;9.1;119.6;0.830583076;-1817.8;-4216.2;-1880;-934.2;334.5;-0.358060373;-780;570.3;174.1;-374.6;-141.1;444.8;65;1148;-2460;550;0;9998;450;-1160;0;9998;-125;-1676;-90.5;-90.2;-94.3;-11282.40788;-151274.5249;-8168.463307;-8141.385528;-8511.448506;11.6;9998;9998;-6.5;2.1;1;0;0;0;0;<>;-1.821;3.088;0.0797;340.7;-157.8;14;7225;79.1;14;1;1
15;7271;<WITHOUT BULB>;373;;0.063029491;2.854104636;0.01844504;0.136002942;0.421097405;0.01699123;0;;67.1;23.51;23.51;6.88;16;9.9;149;0.808391579;-1461;-4993;-1940;-871;422;-0.484500574;-862;476;80.4;-286;-162.6;299;40.7;1197;-2140;1280;0;9998;390;-1400;0;9998;-110;-1666;-64.1;-45.1;-84.8;-9701.417604;-146932.3793;-5653.280622;-3977.581218;-7478.911026;-10;9998;9998;-9;2.8;1;0;0;0;0;<>;-5.495;9.708;0.0214;270;-155;15;7271;75.5;15;1;1
17;73065;<DARINA>;232.86;;0.055483982;2.617647059;0.018938418;0.143082636;0.518575851;0.016486341;0;;33.82;12.92;12.92;4.41;13.3;6.7;49.6;0.799249515;-1274.2;-3098.3;-1360;-687.3;77;-0.112032591;-700;405.9;202;-266;-200;238;11.2;1194;-2080;0;410;9998;510;0;-638;9998;-78;-1216.3;-51;-52.5;-91.2;-9679.396314;-150936.5351;-6328.836052;-6514.978288;-11317.448;9.9;0;0;4.2;-3.8;1;0;0;0;0;<>;-2.579;1.697;0.0499;302.1;-157.4;17;73065;95.1;17;1;1
25;74004;<CASE 3, L/B=4.5>;398;;0.072864322;3.048275862;0.032663317;0.12672489;0.393103448;0.024016635;0;;88.4;29;29;13;15.4;11.4;277.2;0.800844604;-1953.6;-5573;-2200;-962.1;197.5;-0.205280116;-1150;550;300;-430;-170;654;65.6;1819;-1753;0;532;0;213;0;-490;0;-156;-2075;-102;-97.5;-113.3;-9639.188641;-128213.5669;-6302.546419;-6024.492901;-7000.769699;7.2;0;0;-7.9;3.6;1;0;0;0;0;<>;-1.216;8.4;0.0167;482.8;-212;25;74004;65.5;25;1;1
26;74004;<CASE 4, L/B=4.5>;398;;0.072864322;3.048275862;0.032663317;0.129193557;0.368965517;0.029457633;0;;88.4;29;29;13;15.7;10.7;340;0.802240254;-2094;-5289;-2480;-1080;510;-0.472222222;-1071;590;320;-430;-196.5;796;158;1677;-896;0;424;0;395;0;-502;0;-156;-2132;-72.9;-62;-121;-9639.188641;-131735.5781;-4504.467;-3830.959588;-7476.550164;-9.6;-129.4;27.6;-7.4;0.9;1;0;0;0;0;<>;-8.724;1.227;0.0249;448;-238;26;74004;69.3;26;1;1
30;74004;<CASE 1, L/B=4.5>;398;;0.072864322;3.048275862;0.032663317;0.12672489;0.393103448;0.021105528;0;;88.4;29;29;13;15.4;11.4;243.6;0.800844604;-1924.4;-5770;-2390;-1145;585.7;-0.511528384;-1154;550;300;-430;-170;654;74.4;1724;-918;0;520;0;213;0;-458;0;-156;-2075;-100.9;-97.5;-114.2;-9639.188641;-128213.5669;-6234.577781;-6024.492901;-7056.380403;7.2;0;0;-9;8.9;1;0;0;0;0;<>;-1.127;7.922;0.0158;395.8;-182.3;30;74004;65.5;30;1;1
32;74006;<LOADED>;387.9;;0.065867492;2.626223092;0.024284609;0.135032361;0.387475538;0.017072207;0;;67.1;25.55;25.55;9.42;16.2;9.9;169.2;0.819678935;-1750.4;-5211.6;-2194;-866.1;117.5;-0.135665628;-726;575;40;-355;-155;285.8;6.5;1277;-1446;0;-92;0;155;0;-433;0;-112.1;-1728;-77.4;-56;-99.9;-9838.564727;-151659.5883;-6793.085726;-4914.894065;-8767.819949;-14.2;-433.5;-128.5;-1.4;0.7;1;0;0;0;0;<>;-6.026;9.721;0.2088;321.5;-160.6;32;74006;80;32;1;1
36;74019;<>;332;;0.068222892;2.931567329;0.025572289;0.144156317;0.428256071;0.018826299;0;;66.4;22.65;22.65;8.49;16;9.7;141.57;0.828233143;-1717;-5569.8;-2120;-958.6;345.1;-0.360004173;-960;582.9;165.3;-432.7;-81.9;636;13.6;1520;-1667;0;279;0;424;-1480;0;0;-135.6;-1938;-88.2;-35.7;-100.3;-9938.013245;-142034.4371;-6464.10596;-2616.423841;-7350.905077;-11;198.1;10.4;5;-2;1;0;0;0;0;<>;5.703;1.449;0.0399;398.8;-209.3;36;74019;80;36;1;1
37;75005;<>;228.6;;0.053805774;2.617886179;0.037182852;0.176440382;0.545203252;0.01453172;0;;32.2;12.3;12.3;8.5;16.25;6.706;40.86;0.811095149;-1455;-2893;-1740;-521;-9;0.017274472;-450;379.9;281.3;-312.2;3.1;132.2;13.6;1055;-1375;0;646;0;563;0;-293;0;-74;-1096;-59.9;-63.8;-65.8;-9763.896985;-144611.231;-7903.478776;-8418.062536;-8681.951644;-4.7;94;-93;7.3;-2.9;1;0;0;0;0;<>;2.328;-1.445;-0.0528;248.9;-127.7;37;75005;99.1;37;1;1
38;75019;<>;365;;0.062328767;2.989010989;0.026164384;0.135766741;0.426373626;0.018124341;0;;68;22.75;22.75;9.55;15.8;9.7;150.5;0.835384438;-1693;-4781;-1780;-760;72.5;-0.095394737;-840;500;172;-355.8;-109.8;522;17.7;1271;-1363;0;271;0;191;0;-498;0;-117;-1648;-76.5;-43.1;-82.6;-10075.84034;-141922.9476;-6588.049451;-3711.698449;-7113.371041;4.1;894;-34.5;3;-1.5;1;0;0;0;0;<>;-4.86;1.202;0.0268;335.6;-169.8;38;75019;76;38;1;1
43;75148;<61.2 - LOADED>;233.9;;0.055964087;2.453781513;0.022873023;0.177113461;0.427807487;0.015905931;0;;32.12;13.09;13.09;5.35;16.5;5.6;48.7;0.809987919;-1107;-4062;-1460;-679;245.2;-0.361119293;-663;437.7;122.4;-296;-104.4;186.4;29.8;979;-2073;0;390;0;96;0;-672;0;-74.7;-1321.9;-47.3;-30.7;-75.8;-9719.990988;-172006.1056;-6154.693089;-3994.695092;-9863.123386;26;155.4;1.1;4;-0.5;1;0;0;0;0;<>;-6.15;7.068;0;325.2;-150.1;43;75148;122;43;1;1
44;75200;<SHALLOW DRAUGHT TANKER - 30>;271.18;;0.041632864;4;0.024559333;0.15950485;0.620017715;0.023735783;0;;45.16;11.29;11.29;6.66;16;7;72.67;0.822397289;-587.1;-3130.5;-726.5;-374;266;-0.711229947;-376;306;79.8;-169.6;-79.2;214.8;-4.4;604;164;0;287;0;-396;0;-317;0;-68.4;-784.5;-14.9;-12.5;-48.6;-9865.600824;-113151.5182;-2149.08556;-1802.924127;-7009.769007;-35.6;75.8;-55;-3.5;0.5;1;0;0;0;0;<>;-1.704;1.188;0.036;267.2;-140.1;44;75200;110;44;1;1
45;75200;<SHALLOW DRAUGHT TANKER - 20>;240;;0.05;4;0.024916667;0.169549729;0.583333333;0.025232639;0;;48;12;12;5.98;16;7;72.67;0.818677662;-887.8;-3561.7;-1123.7;-531;536;-1.009416196;-598;226.5;253.6;-219.3;-97.7;334.8;10.1;669;-980;-839;1082;0;14;0;-477;0;-98.2;-1080;-22.1;-26.3;-64.5;-9820;-108000;-2210;-2630;-6450;-48.4;50.4;-38;3.5;-1.1;1;0;0;0;0;<>;-5.525;7.481;0.0257;356.7;-177.7;45;75200;110;45;1;1
46;75200;<SHALLOW DRAUGHT TANKER - 10>;223.99;;0.055448904;4;0.025938658;0.17550456;0.563607085;0.02612191;0;;49.68;12.42;12.42;5.81;16;7;72.67;0.819144746;-1279.5;-3604.2;-1371;-714;600;-0.840336134;-621.8;396.4;92.9;-250.8;-106.4;427.4;10;892;-426;808;0;0;-187;0;-420;0;-120.9;-1358.6;-36.3;-33.6;-73;-9830.607968;-110470.339;-2951.621747;-2732.079634;-5935.768252;-70.2;120;-70;7;-3.5;1;0;0;0;0;<>;-5.909;9.586;0.0352;451.9;-208.2;46;75200;110;46;1;1
50;77017;<GASTANKER>;259.98;;0.043387953;3.72251773;-0.002423263;0.183267423;0.664893617;0.023392416;0;;41.99;11.28;11.28;-0.63;18;7.5;68.6;0.748171987;-890;-1815;-1291;-424;338;-0.797169811;-372;314;87.3;-217;6.9;-330;-4.9;635;-825;-744;648;-58;-182;-980;-120;152;-62.9;-885;-21.8;-2.3;-52.3;-8975.849251;-126289.7709;-3110.866672;-328.2107039;-7463.226006;-2.1;118;-10.5;2.8;-1.1;1;0;0;0;0;<>;3.611;-7.48;-2.664;261;-134;50;77017;99.5;50;1;1
