  BETAD      K_HL
 -180.000    0.000000
 -177.000    0.000000
 -175.000    0.000000
 -170.000    0.000000
  -95.000    0.000000
  -90.000    0.000000
  -85.000    0.000000
  -22.000    0.119954
  -20.000    0.103686
  -18.000    0.088344
  -15.000    0.067194
  -10.000    0.037342
   -5.000    0.014797
   -2.000    0.004971
   -1.000    0.002326
    0.000    0.000000
    1.000   -0.002317
    2.000   -0.004935
    5.000   -0.014575
   10.000   -0.036460
   15.000   -0.065234
   18.000   -0.085551
   20.000   -0.100265
   22.000   -0.115850
   85.000    0.000000
   90.000    0.000000
   95.000    0.000000
  170.000    0.000000
  175.000    0.000000
  177.000    0.000000
  180.000    0.000000
