 EPSI       K_HL
-180.0		0.00E+00	
-177.6  	4.30E-03	
-90.0   	1.61E+01	
-42.33793376	0.09637713
-38.56354596	0.094361955
-34.34697182	0.090179085
-29.65991643	0.08324627
-23.83799342	0.05509823
-18.33435311	0.044503957
-8	0.0354
-5	0.0394
-2	0.0201
-1	0.0105
0	0
1	-0.0105
2	-0.0201
5	-0.0394
8	-0.0354
18.33435311	-0.044503957
23.83799342	-0.05509823
29.65991643	-0.08324627
34.34697182	-0.090179085
38.56354596	-0.094361955
42.33793376	-0.09637713
90.0    	-1.61E+01	
177.6    	-4.30E-03	
180.0		0.00E+00
