 EPSI       N_HL
-180.0	0.00E+00
-177.6  8.87E-06
-90.0   9.81E-05
-42.33793376	-0.005293446
-38.56354596	-0.005182764
-34.34697182	-0.004953022
-29.65991643	-0.004572242
-24.49260922	-0.004011425
-18.86416188	-0.00325319
-12.83218553	-0.002302518
-9.694755878	-0.001764978
-6.497568518	-0.001195486
-3.259263135	-0.000603539
0	0
3.259263135	0.000603539
6.497568518	0.001195486
9.694755878	0.001764978
12.83218553	0.002302518
18.86416188	0.00325319
24.49260922	0.004011425
29.65991643	0.004572242
34.34697182	0.004953022
38.56354596	0.005182764
42.33793376	0.005293446
90.0    -9.81E-05
177.6   -8.87E-06
180.0	0.00E+00
