 EPSI       Y_HL
-180.0		0.00E+00
-177.6  	6.35E-06	
-90.0   	0.00000		
-42.33793376	0.044569505
-38.56354596	0.04363759
-34.34697182	0.041703226
-29.65991643	0.038497153
-24.49260922	0.033775204
-18.86416188	0.02739106
-12.83218553	0.019386633
-9.694755878	0.014860675
-6.497568518	0.010065698
-3.259263135	0.005081653
0	0
3.259263135	-0.005081653
6.497568518	-0.010065698
9.694755878	-0.014860675
12.83218553	-0.019386633
18.86416188	-0.02739106
24.49260922	-0.033775204
29.65991643	-0.038497153
34.34697182	-0.041703226
38.56354596	-0.04363759
42.33793376	-0.044569505
90.0    	-0.00000	
177.6   	-6.35E-06	
180.0		0.00E+00
