            0.4900   1.0200   1.5400 
-180.0000  -0.0530  -0.1840  -0.2920
-169.7000   0.0030  -0.1170  -0.2290
-164.7000   0.0390  -0.0660  -0.1790
-155.5000   0.1370   0.0350  -0.0720
-150.4000   0.2050   0.0930  -0.0090
-142.8000   0.3160   0.1860   0.0700
-131.3000   0.5380   0.3730   0.2150
-113.7000   0.6720   0.5870   0.3950
 -90.0000   0.6650   0.5860   0.4630
 -66.3000   0.8750   0.7640   0.6320
 -37.2000   0.4700   0.5830   0.6410
 -29.6000   0.3400   0.4900   0.5720
 -24.5000   0.2670   0.4260   0.5150
 -20.0000   0.2130   0.3510   0.4300
 -15.3000   0.1590   0.2410   0.2790
 -10.3000   0.0750   0.1780   0.2880
  -5.2000   0.0930   0.2210   0.3180
   0.0000   0.0970   0.2220   0.3220
   5.2000   0.0660   0.1920   0.3040
  10.3000   0.0280   0.1440   0.2640
  15.3000  -0.0120   0.0940   0.2110
  20.0000  -0.0630   0.0470   0.1560
  24.5000  -0.1250   0.0000   0.1010
  29.6000  -0.2120  -0.0590   0.0420
  37.2000  -0.3410  -0.1650  -0.0380
  66.3000  -0.8020  -0.6610  -0.4520
  90.0000  -0.6390  -0.5300  -0.4350
 113.7000  -0.7570  -0.6400  -0.5330
 131.3000  -0.6680  -0.6530  -0.7390
 142.8000  -0.4600  -0.4690  -0.6040
 150.4000  -0.3200  -0.3760  -0.5250
 155.5000  -0.2330  -0.3400  -0.4930
 164.7000  -0.1300  -0.2060  -0.2720
 169.7000  -0.0840  -0.1380  -0.2620
 180.0000  -0.0530  -0.1840  -0.2920
