            0.4900   1.0200   1.5400 
-180.0000  -0.0080  -0.0410  -0.0930
-169.7000  -0.0030  -0.0240  -0.0710
-164.7000   0.0000  -0.0160  -0.0550
-155.5000   0.0090   0.0000  -0.0270
-150.4000   0.0150   0.0170  -0.0110
-142.8000   0.0260   0.0360   0.0090
-131.3000   0.0460   0.0570   0.0450
-113.7000   0.1050   0.1110   0.1320
 -90.0000   0.0610   0.1070   0.1480
 -66.3000   0.0730   0.1430   0.1790
 -37.2000   0.0380   0.1030   0.1700
 -29.6000   0.0300   0.0890   0.1570
 -24.5000   0.0250   0.0780   0.1360
 -20.0000   0.0200   0.0600   0.1060
 -15.3000   0.0150   0.0410   0.0670
 -10.3000   0.0090   0.0340   0.0740
  -5.2000   0.0110   0.0420   0.0870
   0.0000   0.0110   0.0410   0.0870
   5.2000   0.0090   0.0340   0.0810
  10.3000   0.0050   0.0250   0.0700
  15.3000   0.0070   0.0220   0.0560
  20.0000  -0.0020   0.0090   0.0410
  24.5000  -0.0070   0.0020   0.0280
  29.6000  -0.0110  -0.0060   0.0130
  37.2000  -0.0190  -0.0220  -0.0070
  66.3000  -0.0660  -0.0960  -0.1110
  90.0000  -0.0660  -0.1040  -0.1400
 113.7000  -0.0730  -0.1220  -0.1710
 131.3000  -0.0560  -0.0960  -0.1720
 142.8000  -0.0400  -0.0820  -0.1600
 150.4000  -0.0300  -0.0810  -0.1490
 155.5000  -0.0240  -0.0720  -0.1270
 164.7000  -0.0190  -0.0360  -0.0720
 169.7000  -0.0090  -0.0350  -0.0870
 180.0000  -0.0080  -0.0410  -0.0930

